"filename", "language", "JSON", "JavaScript", "Groovy", "Batch", "Properties", "Objective-C", "XML", "C++", "Java", "comment", "blank", "total"
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\Images.xcassets\Contents.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 57, 0, 0, 1, 1, 59
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\main.m", "Objective-C", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\metro.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\package-lock.json", "JSON", 12201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12202
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\CurrentSongBar.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 5, 14, 120
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\CurrentSongScreen.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 12, 23, 213
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\HomeScreen.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 25, 114
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\MainAppbar.js", "JavaScript", 0, 193, 0, 0, 0, 0, 0, 0, 0, 8, 28, 229
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\TestComponent.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 18, 15, 98
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\lists\SongItem.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 12, 96
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\tabs\ActionsByTabs.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 13, 60
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\tabs\SongsList.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 3, 25, 121
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\tabs\TabsScreen.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 0, 0, 7, 31, 182
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\util\MyMenuOption.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 9, 37
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\util\RadioButtonRN.js", "JavaScript", 0, 253, 0, 0, 0, 0, 0, 0, 0, 8, 22, 283
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\util\RoundIconButton.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 10, 5, 56
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\util\ScrollableRecyclerView.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 0, 0, 28, 31, 183
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\util\SortByAlert.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 10, 68
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\packages\Modules.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\store\Config.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\store\SongReducer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\store\UIReducer.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\util\Constants.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 12301, 1745, 123, 78, 8, 106, 102, 5, 819, 542, 655, 16484
