Date : 2020-12-12 02:32:17
Directory : d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer
Total : 58 files,  15287 codes, 542 comments, 655 blanks, all 16484 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayerTests\MusicPlayerTests.m                             | Objective-C |         51 |          0 |         15 |         66 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\AppDelegate.h                                       | C++         |          5 |          0 |          4 |          9 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\AppDelegate.m                                       | Objective-C |         48 |          0 |         11 |         59 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\Images.xcassets\AppIcon.appiconset\Contents.json    | JSON        |         38 |          0 |          0 |         38 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\Images.xcassets\Contents.json                       | JSON        |          6 |          0 |          1 |          7 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\LaunchScreen.storyboard                             | XML         |         57 |          1 |          1 |         59 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\ios\MusicPlayer\main.m                                              | Objective-C |          7 |          0 |          3 |         10 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\metro.config.js                                                     | JavaScript  |         10 |          6 |          2 |         18 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\package-lock.json                                                   | JSON        |     12,201 |          0 |          1 |     12,202 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\package.json                                                        | JSON        |         51 |          0 |          1 |         52 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\CurrentSongBar.js                                    | JavaScript  |        101 |          5 |         14 |        120 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\CurrentSongScreen.js                                 | JavaScript  |        178 |         12 |         23 |        213 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\HomeScreen.js                                        | JavaScript  |         88 |          1 |         25 |        114 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\MainAppbar.js                                        | JavaScript  |        193 |          8 |         28 |        229 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\TestComponent.js                                     | JavaScript  |         65 |         18 |         15 |         98 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\lists\SongItem.js                                    | JavaScript  |         83 |          1 |         12 |         96 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\tabs\ActionsByTabs.js                                | JavaScript  |         45 |          2 |         13 |         60 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\tabs\SongsList.js                                    | JavaScript  |         93 |          3 |         25 |        121 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\tabs\TabsScreen.js                                   | JavaScript  |        144 |          7 |         31 |        182 |
| d:\OneDrive\Rdms Trucs de code\ReactNative\MusicPlayer\src\components\util\MyMenuOption.js                                 | JavaScript  |         27 |          1 |          9 |         37 |
